company,industry,career_page
Adidas,Retail,https://careers.adidas-group.com/jobs?brand=&team=&type=&keywords=Data&location=%5B%7B%22region%22%3A%22Americas%22%2C%22country%22%3A%22United+States+of+America%22%7D%5D&sort=&locale=en&offset=0
Adobe,Tech/SaaS,https://careers.adobe.com/us/en/search-results?keywords=data
Affirm,Banking/Fintech,https://www.affirm.com/careers#jobOpenings
Airbnb,Tech/SaaS,https://careers.airbnb.com/positions/?_search_input=data&_where_you_work=united-states%2Csan-francisco-united-states%2Carizona-united-states-colorado-united-states-idaho%2Ccalifornia-united-states-washington-united-states-%2Cflorida-united-states-georgia-united-states-alabam%2Cmiami-united-states-san-francisco-united-states%2Cnorth-carolina-united-states-south-carolina-united%2Cremote-united-states-united-states%2Cvirginia-united-states-west-virginia-united-states
Amazon,Tech/SaaS,https://www.amazon.jobs/en/search?offset=0&result_limit=10&sort=relevant&category%5B%5D=business-intelligence&category%5B%5D=data-science&job_type%5B%5D=Full-Time&country%5B%5D=USA&category_type=Corporate&distanceType=Mi&radius=24km&is_manager%5B%5D=0&latitude=&longitude=&loc_group_id=&loc_query=&base_query=data&city=&country=&region=&county=&query_options=&
American Express,Banking/Fintech,https://aexp.eightfold.ai/careers?query=data&location=New%20York%2C%20New%20York%2C%20United%20States&pid=40708591&Role%20Type=professional%20%28band%2040%20and%20below%29&Select%20Skills=SQL&domain=aexp.com&sort_by=relevance&hl=GB
Anthropic,Tech/SaaS,https://www.anthropic.com/careers/jobs
Apple,Tech/SaaS,https://jobs.apple.com/en-us/search?search=data&sort=relevance&location=united-states-USA&key=analytics+data
Asana,Tech/SaaS,https://asana.com/jobs/all
Atlassian,Tech/SaaS,https://www.atlassian.com/company/careers/all-jobs?team=&location=United%20States&search=
Barclay,Banking/Fintech,https://search.jobs.barclays/search-jobs/analytics/07003%2C%20Bloomfield%2C%20NJ/13015/1/4/6252001-5101760-5097707-5095785-5095779/40x8035/-74x1891/50/2?pc=07003
Bayer’s,Healthcare,https://jobs.bayer.com/search/?createNewAlert=false&q=analytics&locationsearch=united+states
BCG,Tech/SaaS,https://careers.bcg.com/global/en/c/data-science-and-analytics-jobs
Best Buy,Retail,https://jobs.bestbuy.com/bby?id=all_jobs&spa=1&s=relevance&country=US&q=analytics&job_type=Full%20time&l=&r=
Better.com,Banking/Fintech,https://jobs.ashbyhq.com/better-mortgage?employmentType=FullTime
Bloomberg,Banking/Fintech,https://bloomberg.avature.net/careers/SearchJobs/analytics?1845=%5B162508%2C162483%5D&1845_format=3996&1686=%5B57029%5D&1686_format=2312&listFilterMode=1&jobRecordsPerPage=12&
Brex,Banking/Fintech,https://www.brex.com/careers?department=Data&country=United+States
Capital One,Banking/Fintech,https://www.capitalonecareers.com/search-jobs/Data/234/1
Cedar,Healthcare,https://www.cedar.com/careers/open-roles
Chewy,Retail,https://careers.chewy.com/us/en/search-results?keywords=Data
Chime,Banking/Fintech,https://careers.chime.com/en/jobs/?keyword=data&pagesize=20#results
Chobani / La Colombe,Retail,https://careers.chobani.com/search/?createNewAlert=false&q=data&optionsFacetsDD_dept=&optionsFacetsDD_customfield2=&optionsFacetsDD_location=
CITI,Banking/Fintech,https://jobs.citi.com/search-jobs/Data/United%20States/287/1/2/6252001/39x76/-98x5/50/2
Samsara,Tech/SaaS,https://www.samsara.com/company/careers/roles?search=data
Coinbase,Banking/Fintech,https://www.coinbase.com/careers/positions?location=remote%2520usa%2Cca%2Cny%2Cnc
Etsy,Retail,https://careers.etsy.com/jobs/search?page=1&country_codes%5B%5D=US&query=data
Mastercard,Banking/Fintech,https://mastercard.wd1.myworkdayjobs.com/CorporateCareers?q=Data&locations=8eab563831bf10acbba0ec70e0f00d06&locations=8eab563831bf10acbcb35b24fcd616d7&locations=21900bbfa5d5488385df4c0929ad6598
CVS Health,Healthcare,https://jobs.cvshealth.com/us/en/search-results?keywords=data&p=ChIJOwg_06VPwokRYv534QaPC8g&location=New%20York%2C%20NY%2C%20USA
Databricks,Tech/SaaS,https://www.databricks.com/company/careers/open-positions?department=Engineering&location=United%20States
Datadog,Tech/SaaS,https://careers.datadoghq.com/all-jobs/?s=data&region_Americas%5B0%5D=Americas
